round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1,stem,464,259,9,0.05581896551724138,0.004275846993550658,event_t0125_q005,4200,94200
1,stage1.block1,4672,1511,10,0.032341609589041094,0.002811506250873208,event_t0125_q005,4200,94200
1,stage1.block2,4672,963,10,0.020612157534246577,0.0021950364694930612,event_t0125_q005,4200,94200
1,stage2.block1,14528,6061,10,0.04171943832599119,0.0025738392141647637,event_t0125_q005,4200,94200
1,stage2.block2,18560,8759,10,0.04719288793103448,0.0029981526313349605,event_t0125_q005,4200,94200
1,stage3.block1,57728,28341,10,0.04909402716186253,0.0030053633498027922,event_t0125_q005,4200,94200
1,stage3.block2,73984,41796,10,0.05649329584775087,0.003251980640925467,event_t0125_q005,4200,94200
1,head,650,1954,10,0.3006153846153846,0.015910575911402703,event_t0125_q005,4200,94200
2,stem,464,46,9,0.009913793103448277,0.003728662803769112,event_t0125_q005,4200,94200
2,stage1.block1,4672,266,10,0.0056934931506849315,0.0024691861122846603,event_t0125_q005,4200,94200
2,stage1.block2,4672,90,10,0.0019263698630136985,0.0019819209119305015,event_t0125_q005,4200,94200
2,stage2.block1,14528,938,10,0.006456497797356828,0.0019441265962086619,event_t0125_q005,4200,94200
2,stage2.block2,18560,774,10,0.0041702586206896555,0.0022147538838908076,event_t0125_q005,4200,94200
2,stage3.block1,57728,4526,10,0.007840216186252772,0.0022768389899283648,event_t0125_q005,4200,94200
2,stage3.block2,73984,6156,10,0.008320717993079586,0.0023701963713392616,event_t0125_q005,4200,94200
2,head,650,1976,10,0.304,0.011984025035053492,event_t0125_q005,4200,94200
3,stem,464,31,7,0.006681034482758621,0.0038373070070520043,event_t0125_q005,4200,94200
3,stage1.block1,4672,200,10,0.004280821917808219,0.002520622790325433,event_t0125_q005,4200,94200
3,stage1.block2,4672,102,10,0.002183219178082192,0.002063259028363973,event_t0125_q005,4200,94200
3,stage2.block1,14528,482,10,0.0033177312775330395,0.0019292247714474797,event_t0125_q005,4200,94200
3,stage2.block2,18560,402,10,0.002165948275862069,0.0022249327972531318,event_t0125_q005,4200,94200
3,stage3.block1,57728,3716,10,0.006437084257206209,0.002312451833859086,event_t0125_q005,4200,94200
3,stage3.block2,73984,6646,10,0.008983023356401384,0.002452523447573185,event_t0125_q005,4200,94200
3,head,650,1739,10,0.26753846153846156,0.011574832908809184,event_t0125_q005,4200,94200
4,stem,464,29,7,0.00625,0.003949108277447521,event_t0125_q005,4200,94200
4,stage1.block1,4672,108,10,0.0023116438356164384,0.002533819049131125,event_t0125_q005,4200,94200
4,stage1.block2,4672,96,9,0.002054794520547945,0.0021326076122932134,event_t0125_q005,4200,94200
4,stage2.block1,14528,534,10,0.003675660792951542,0.001972627337090671,event_t0125_q005,4200,94200
4,stage2.block2,18560,528,10,0.0028448275862068967,0.002272193320095539,event_t0125_q005,4200,94200
4,stage3.block1,57728,4230,10,0.007327466740576496,0.0023972195805981754,event_t0125_q005,4200,94200
4,stage3.block2,73984,7309,10,0.009879163062283737,0.0025300601962953808,event_t0125_q005,4200,94200
4,head,650,1718,10,0.2643076923076923,0.011597209330648183,event_t0125_q005,4200,94200
5,stem,464,27,8,0.00581896551724138,0.00401849108748138,event_t0125_q005,4200,94200
5,stage1.block1,4672,110,10,0.0023544520547945204,0.0025681096711196007,event_t0125_q005,4200,94200
5,stage1.block2,4672,107,10,0.0022902397260273974,0.002178846870083362,event_t0125_q005,4200,94200
5,stage2.block1,14528,463,10,0.0031869493392070484,0.002011787216179073,event_t0125_q005,4200,94200
5,stage2.block2,18560,508,10,0.0027370689655172413,0.0023149051470682026,event_t0125_q005,4200,94200
