round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.063766336275622,2.639227673339844,2.651014129638672,0.1,0.10000000149011612,0.0,56083200,11216640,112166720,0,10,0,1,0,10,56083200,1.5912660360336304,175258,0.6056717999963439,dense_g15,dense,4600,94600,heldout-r1800
15,2.6036557476488422,2.1815675170898436,2.180540319824219,0.1941,0.1941000074148178,0.0,841248000,89733120,897336000,0,150,0,15,0,10,56083200,0.09317725151777267,175258,7.4697363000013866,dense_g15,dense,4600,94600,heldout-r1800
30,2.471272783360684,2.0513515625,2.0510963317871096,0.2397,0.23969998955726624,0.0,1682496000,173857920,1738588800,0,300,0,30,0,10,56083200,0.09869057685136795,175258,14.926806099996611,dense_g15,dense,4600,94600,heldout-r1800
45,2.364950351715062,1.9470965454101563,1.9503841064453125,0.2961,0.296099990606308,0.03500000014901161,2523744000,257982720,2579841600,0,450,0,45,0,10,56083200,0.0779779851436615,175258,22.26510810000036,dense_g15,dense,4600,94600,heldout-r1800
60,2.327885252326218,1.9120433349609376,1.9100537963867188,0.289,0.289000004529953,0.03200000151991844,3364992000,342107520,3421094400,0,600,0,60,0,10,56083200,0.09900487214326859,175258,29.58741149999696,dense_g15,dense,4600,94600,heldout-r1800
75,2.265697363441586,1.8518319946289064,1.8541409423828126,0.3104,0.31040000915527344,0.04800000041723251,4206240000,426232320,4262347200,0,750,0,75,0,10,56083200,0.1161879301071167,175258,36.911765599994396,dense_g15,dense,4600,94600,heldout-r1800
90,2.223504837704869,1.811573046875,1.8088274536132813,0.348,0.34800001978874207,0.03799999877810478,5047488000,510357120,5103600000,0,900,0,90,0,10,56083200,0.09060714393854141,175258,44.403054299997166,dense_g15,dense,4600,94600,heldout-r1800
105,2.214332285133301,1.804248193359375,1.7974225463867188,0.3574,0.35740000009536743,0.23000000417232513,5888736000,594481920,5944852800,0,1050,0,105,0,10,56083200,0.10691855847835541,175258,51.732782499995665,dense_g15,dense,4600,94600,heldout-r1800
120,2.161491228999966,1.753229296875,1.7452114929199218,0.3756,0.37560001015663147,0.06700000166893005,6729984000,678606720,6786105600,0,1200,0,120,0,10,56083200,0.09855517745018005,175258,59.078213199994934,dense_g15,dense,4600,94600,heldout-r1800
135,2.117019257972535,1.710522607421875,1.7031826538085937,0.4024,0.40240001678466797,0.26899999380111694,7571232000,762731520,7627358400,0,1350,0,135,0,10,56083200,0.10291265696287155,175258,66.43136349999986,dense_g15,dense,4600,94600,heldout-r1800
150,2.0921411117628916,1.6874088623046875,1.6782821990966796,0.4006,0.40060001611709595,0.15800000727176666,8412480000,846856320,8468611200,0,1500,0,150,0,10,56083200,0.11308235675096512,175258,73.89330440000049,dense_g15,dense,4600,94600,heldout-r1800
165,2.083153246161237,1.6801524047851562,1.668430667114258,0.3999,0.39990001916885376,0.09000000357627869,9253728000,930981120,9309864000,0,1650,0,165,0,10,56083200,0.12418588995933533,175258,81.2686820999952,dense_g15,dense,4600,94600,heldout-r1800
180,2.0495672320827842,1.648284375,1.6333235565185547,0.4163,0.4163000285625458,0.13500000536441803,10094976000,1015105920,10151116800,0,1800,0,180,0,10,56083200,0.10002601891756058,175258,88.59291989999474,dense_g15,dense,4600,94600,heldout-r1800
195,2.0159745333269705,1.6163885986328126,1.6085309936523438,0.4226,0.42260000109672546,0.19599999487400055,10936224000,1099230720,10992369600,0,1950,0,195,0,10,56083200,0.10936666280031204,175258,95.91027200000099,dense_g15,dense,4600,94600,heldout-r1800
210,2.0259851498496952,1.628092919921875,1.6177638580322267,0.43,0.43000003695487976,0.19900000095367432,11777472000,1183355520,11833622400,0,2100,0,210,0,10,56083200,0.12270902842283249,175258,103.36513130000094,dense_g15,dense,4600,94600,heldout-r1800
225,1.9857125537267886,1.589474658203125,1.5762138610839844,0.4216,0.42160001397132874,0.1899999976158142,12618720000,1267480320,12674875200,0,2250,0,225,0,10,56083200,0.10702896118164062,175258,110.70511930000066,dense_g15,dense,4600,94600,heldout-r1800
240,1.951039894631668,1.5564512451171875,1.5474047790527343,0.4482,0.448199987411499,0.22499999403953552,13459968000,1351605120,13516128000,0,2400,0,240,0,10,56083200,0.10120505094528198,175258,118.03443770000013,dense_g15,dense,4600,94600,heldout-r1800
255,1.9667476066200762,1.573786865234375,1.5575486938476562,0.4411,0.44110003113746643,0.24899999797344208,14301216000,1435729920,14357380800,0,2550,0,255,0,10,56083200,0.12065614759922028,175258,125.3665744999962,dense_g15,dense,4600,94600,heldout-r1800
270,1.9572288820619694,1.56587177734375,1.5582907897949219,0.4431,0.4430999755859375,0.13600000739097595,15142464000,1519854720,15198633600,0,2700,0,270,0,10,56083200,0.1224595382809639,175258,132.86753999999928,dense_g15,dense,4600,94600,heldout-r1800
285,1.895393192803208,1.5056019409179688,1.4940445922851562,0.4655,0.46550002694129944,0.20600000023841858,15983712000,1603979520,16039886400,0,2850,0,285,0,10,56083200,0.1014401838183403,175258,140.21172229999502,dense_g15,dense,4600,94600,heldout-r1800
300,1.8880467362367548,1.4998157104492187,1.4889331298828126,0.4674,0.4673999845981598,0.28700000047683716,16824960000,1688104320,16881139200,0,3000,0,300,0,10,56083200,0.0884142816066742,175258,147.56793739999557,dense_g15,dense,4600,94600,heldout-r1800
315,1.8789585249560654,1.4922856323242188,1.4795990447998046,0.4621,0.46209999918937683,0.1509999930858612,17666208000,1772229120,17722392000,0,3150,0,315,0,10,56083200,0.1061311587691307,175258,154.89842679999856,dense_g15,dense,4600,94600,heldout-r1800
330,1.8592835090684472,1.4741059204101563,1.4604418518066407,0.4746,0.4745999872684479,0.1860000044107437,18507456000,1856353920,18563644800,0,3300,0,330,0,10,56083200,0.10985813289880753,175258,162.34133989999827,dense_g15,dense,4600,94600,heldout-r1800
345,1.847776251187455,1.4641189208984375,1.4581228118896485,0.4727,0.4727000296115875,0.16099999845027924,19348704000,1940478720,19404897600,0,3450,0,345,0,10,56083200,0.11107207834720612,175258,169.68962579999788,dense_g15,dense,4600,94600,heldout-r1800
360,1.8446971463383641,1.4625080078125,1.4470228881835938,0.4843,0.48429998755455017,0.2590000033378601,20189952000,2024603520,20246150400,0,3600,0,360,0,10,56083200,0.1494269073009491,175258,178.17336239999713,dense_g15,dense,4600,94600,heldout-r1800
375,1.81438550015497,1.4336561157226562,1.427131756591797,0.4875,0.48750001192092896,0.2770000100135803,21031200000,2108728320,21087403200,0,3750,0,375,0,10,56083200,0.10696540772914886,175258,187.30052549999527,dense_g15,dense,4600,94600,heldout-r1800
390,1.8099855000698242,1.4307349487304688,1.419655990600586,0.4884,0.4883999824523926,0.19200000166893005,21872448000,2192853120,21928656000,0,3900,0,390,0,10,56083200,0.12129425257444382,175258,195.78279219999968,dense_g15,dense,4600,94600,heldout-r1800
405,1.7838778686244507,1.40602666015625,1.3951651916503907,0.5002,0.5001999735832214,0.30000001192092896,22713696000,2276977920,22769908800,0,4050,0,405,0,10,56083200,0.1261119246482849,175258,203.14567469999747,dense_g15,dense,4600,94600,heldout-r1800
