architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed
cifar_cnn,event,20570,120,5,0.05,1.427037609,1.387493286,1.427892368,0.4889,0.4889,0.321,1.739041285,18153536,18230336,18888640,188924800,37118976,207155136,1200,1134596,945.4966667,0.339435048,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.482,0.564,0.321,0.324,0.35,0.465,0.581,0.617,0.576,0.609,cifar_event,cifar_cnn,event,event_t025_q005,4,extension,3900,83900
cifar_cnn,event,20570,120,5,0.05,1.441158395,1.401542993,1.425102487,0.4872,0.4872,0.267,1.758821492,17218784,17295584,17953888,179577280,35249472,196872864,1200,1076174,896.8116667,0.3348604178,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.508,0.683,0.377,0.267,0.328,0.395,0.699,0.551,0.609,0.455,cifar_event,cifar_cnn,event,event_t025_q005,5,extension,4000,84000
cifar_cnn,event,20570,120,5,0.05,1.473264827,1.434177661,1.457991663,0.4714,0.4714,0.23,1.750084761,17126768,17203568,17861872,178657120,35065440,195860688,1200,1070423,892.0191667,0.3369133439,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.523,0.642,0.23,0.274,0.542,0.529,0.396,0.513,0.536,0.529,cifar_event,cifar_cnn,event,event_t025_q005,6,extension,4100,84100
cifar_cnn,event,20570,120,5,0.05,1.425712594,1.385553235,1.422943756,0.4934,0.4934,0.277,1.73585581,17394272,17471072,18129376,181332160,35600448,198803232,1200,1087142,905.9516667,0.336338363,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.465,0.644,0.345,0.277,0.323,0.563,0.641,0.564,0.619,0.493,cifar_event,cifar_cnn,event,event_t025_q005,7,extension,4200,84200
cifar_cnn,event,20570,120,5,0.05,1.47567623,1.435273474,1.459843787,0.4731,0.4731,0.244,1.757972233,17407584,17484384,18142688,181465280,35627072,198949664,1200,1087974,906.645,0.3365307338,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.423,0.605,0.278,0.599,0.244,0.364,0.559,0.53,0.598,0.531,cifar_event,cifar_cnn,event,event_t025_q005,8,extension,4300,84300
cifar_cnn,event,20570,120,5,0.05,1.431037817,1.392009363,1.436067773,0.4832,0.4832,0.308,1.741004778,17866144,17942944,18601248,186050880,36544192,203993824,1200,1116634,930.5283333,0.3382295294,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.612,0.641,0.308,0.309,0.339,0.428,0.646,0.5,0.537,0.512,cifar_event,cifar_cnn,event,event_t025_q005,9,extension,4400,84400
cifar_cnn,strom,20570,120,5,0.05,2.653925586,1.672858386,1.688854501,0.3931,0.3931,0.194,2.419615058,18421840,18498640,19156944,191607840,37655584,210106480,1200,1151365,959.4708333,0.3369500908,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.432,0.626,0.236,0.194,0.29,0.367,0.67,0.518,0.337,0.261,cifar_strom_near,cifar_cnn,traffic,strom_t01,0,original,3500,83500
cifar_cnn,strom,20570,120,5,0.05,2.720410876,1.733824939,1.709579327,0.3842,0.3842,0.072,2.529966514,18956096,19032896,19691200,196950400,38724096,215983296,1200,1184756,987.2966667,0.3484658553,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.56,0.378,0.072,0.21,0.451,0.196,0.418,0.481,0.498,0.578,cifar_strom_near,cifar_cnn,traffic,strom_t01,1,original,3600,83600
cifar_cnn,strom,20570,120,5,0.05,2.640559888,1.739888501,1.752277872,0.3713,0.3713,0.145,2.492976533,21009840,21086640,21744944,217487840,42831584,238574480,1200,1313115,1094.2625,0.3464604499,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.626,0.605,0.145,0.24,0.29,0.321,0.363,0.486,0.321,0.316,cifar_strom_near,cifar_cnn,traffic,strom_t01,2,original,3700,83700
cifar_cnn,strom,20570,120,5,0.05,2.816549939,1.818660291,1.830097922,0.3483,0.3483,0.05,2.541641999,20183024,20259824,20918128,209219680,41177952,229479504,1200,1261439,1051.199167,0.3525360813,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.233,0.318,0.05,0.133,0.269,0.511,0.604,0.514,0.54,0.311,cifar_strom_near,cifar_cnn,traffic,strom_t01,3,extension,3800,83800
cifar_cnn,strom,20570,120,5,0.05,2.556996204,1.621018787,1.660491364,0.3944,0.3944,0.201,2.330174617,19942768,20019568,20677872,206817120,40697440,226836688,1200,1246423,1038.685833,0.3390442505,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.532,0.342,0.236,0.201,0.351,0.259,0.513,0.435,0.49,0.585,cifar_strom_near,cifar_cnn,traffic,strom_t01,4,extension,3900,83900
cifar_cnn,strom,20570,120,5,0.05,2.815320129,1.94141156,1.935982132,0.286,0.286,0.046,2.392047148,18371792,18448592,19106896,191107360,37555488,209555952,1200,1148237,956.8641667,0.3423769196,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.186,0.412,0.095,0.046,0.466,0.056,0.674,0.072,0.712,0.141,cifar_strom_near,cifar_cnn,traffic,strom_t01,5,extension,4000,84000
cifar_cnn,strom,20570,120,5,0.05,3.075757422,1.98556626,2.003285309,0.2612,0.2612,0.049,2.750552139,17842512,17919312,18577616,185814560,36496928,203733872,1200,1115157,929.2975,0.3774021186,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.439,0.444,0.054,0.049,0.383,0.156,0.309,0.412,0.168,0.198,cifar_strom_near,cifar_cnn,traffic,strom_t01,6,extension,4100,84100
cifar_cnn,strom,20570,120,5,0.05,2.714419165,1.778966528,1.786978574,0.3429,0.3429,0.07,2.503702149,15417168,15493968,16152272,161561120,31646240,177055088,1200,963573,802.9775,0.3387978494,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.542,0.574,0.247,0.07,0.443,0.269,0.282,0.35,0.401,0.251,cifar_strom_near,cifar_cnn,traffic,strom_t01,7,extension,4200,84200
cifar_cnn,strom,20570,120,5,0.05,2.693373108,1.723326843,1.765186505,0.3542,0.3542,0.067,2.633929562,19729904,19806704,20465008,204688480,40271712,224495184,1200,1233119,1027.599167,0.3504591796,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.268,0.454,0.192,0.397,0.067,0.224,0.413,0.554,0.332,0.641,cifar_strom_near,cifar_cnn,traffic,strom_t01,8,extension,4300,84300
cifar_cnn,strom,20570,120,5,0.05,2.643883582,1.733862952,1.753173981,0.3517,0.3517,0.084,2.440087222,17874320,17951120,18609424,186132640,36560544,204083760,1200,1117145,930.9541667,0.3485096206,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.502,0.45,0.333,0.084,0.228,0.492,0.427,0.331,0.166,0.504,cifar_strom_near,cifar_cnn,traffic,strom_t01,9,extension,4400,84400
cifar_cnn,strom,20570,120,5,0.05,1.586928671,1.448624915,1.495082861,0.4567,0.4567,0.19,1.738631958,135028752,135105552,79654784,796586240,214760336,931691792,1200,8439297,7032.7475,0.3413622272,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.447,0.528,0.4,0.19,0.32,0.456,0.583,0.507,0.668,0.468,cifar_strom_quality,cifar_cnn,quality,strom_t0025,0,original,3500,83500
cifar_cnn,strom,20570,120,5,0.05,1.578935071,1.427988843,1.44306557,0.4789,0.4789,0.224,1.753240591,134963584,135040384,79654784,796586240,214695168,931626624,1200,8435224,7029.353333,0.3383039009,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.503,0.54,0.224,0.341,0.473,0.424,0.575,0.59,0.57,0.549,cifar_strom_quality,cifar_cnn,quality,strom_t0025,1,original,3600,83600
cifar_cnn,strom,20570,120,5,0.05,1.546783521,1.403896558,1.462230844,0.4712,0.4712,0.195,1.775693356,131985712,132062512,79654784,796586240,211717296,928648752,1200,8249107,6874.255833,0.3428665233,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.551,0.643,0.312,0.195,0.371,0.523,0.607,0.539,0.589,0.382,cifar_strom_quality,cifar_cnn,quality,strom_t0025,2,original,3700,83700
cifar_cnn,strom,20570,120,5,0.05,1.507157346,1.35547511,1.42139184,0.4826,0.4826,0.262,1.714392982,141488656,141565456,79654784,796586240,221220240,938151696,1200,8843041,7369.200833,0.3406978672,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.448,0.621,0.348,0.262,0.333,0.464,0.727,0.471,0.717,0.435,cifar_strom_quality,cifar_cnn,quality,strom_t0025,3,extension,3800,83800
cifar_cnn,strom,20570,120,5,0.05,1.534845718,1.401205688,1.452683667,0.468,0.468,0.054,1.744029394,123863360,123940160,79654784,796586240,203594944,920526400,1200,7741460,6451.216667,0.3375773897,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.505,0.607,0.234,0.054,0.247,0.564,0.733,0.661,0.554,0.521,cifar_strom_quality,cifar_cnn,quality,strom_t0025,4,extension,3900,83900
cifar_cnn,strom,20570,120,5,0.05,1.542173392,1.40272074,1.463399045,0.4676,0.4676,0.228,1.741976223,130185536,130262336,79654784,796586240,209917120,926848576,1200,8136596,6780.496667,0.3367639634,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.411,0.666,0.255,0.228,0.403,0.469,0.57,0.575,0.538,0.561,cifar_strom_quality,cifar_cnn,quality,strom_t0025,5,extension,4000,84000
cifar_cnn,strom,20570,120,5,0.05,1.575043341,1.441685095,1.475366937,0.4621,0.4621,0.164,1.770160233,122911680,122988480,79654784,796586240,202643264,919574720,1200,7681980,6401.65,0.3395689496,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.541,0.503,0.366,0.164,0.526,0.412,0.557,0.467,0.608,0.477,cifar_strom_quality,cifar_cnn,quality,strom_t0025,6,extension,4100,84100
cifar_cnn,strom,20570,120,5,0.05,1.535775131,1.397836731,1.454439099,0.4789,0.4789,0.26,1.742555983,120432672,120509472,79654784,796586240,200164256,917095712,1200,7527042,6272.535,0.333915791,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.574,0.676,0.354,0.26,0.412,0.383,0.619,0.539,0.543,0.429,cifar_strom_quality,cifar_cnn,quality,strom_t0025,7,extension,4200,84200
cifar_cnn,strom,20570,120,5,0.05,1.526940268,1.383655371,1.456665088,0.4708,0.4708,0.243,1.757071441,135488256,135565056,79654784,796586240,215219840,932151296,1200,8468016,7056.68,0.344929379,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.486,0.629,0.416,0.347,0.243,0.406,0.571,0.555,0.553,0.502,cifar_strom_quality,cifar_cnn,quality,strom_t0025,8,extension,4300,84300
cifar_cnn,strom,20570,120,5,0.05,1.542322269,1.411599475,1.499177936,0.4614,0.4614,0.257,1.740637172,131762384,131839184,79654784,796586240,211493968,928425424,1200,8235149,6862.624167,0.3366646885,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,1,0.651,0.676,0.371,0.257,0.371,0.394,0.587,0.455,0.523,0.329,cifar_strom_quality,cifar_cnn,quality,strom_t0025,9,extension,4400,84400
cnn,event,14538,80,5,0.1,0.4665173667,0.4622880816,0.5024363399,0.8167,0.8167,0.405,0.800504674,6101820,6153020,6618300,66208600,12771320,72361620,800,406788,508.485,0.3155309879,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.829,0.953,0.687,0.841,0.779,0.906,0.405,0.9,0.913,0.954,fmnist_cnn_event,fmnist_cnn,event,fixed,0,original,2500,72500
cnn,event,14538,80,5,0.1,0.4815667504,0.4772947133,0.5250627398,0.8082,0.8082,0.35,0.7911854968,6062595,6113795,6579075,65816350,12692870,71930145,800,404173,505.21625,0.3155450355,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.824,0.954,0.656,0.753,0.859,0.925,0.35,0.853,0.945,0.963,fmnist_cnn_event,fmnist_cnn,event,fixed,1,original,2600,72600
cnn,event,14538,80,5,0.1,0.4575153858,0.4532649517,0.5076972246,0.8152,0.8152,0.407,0.7857837436,6271875,6323075,6788355,67909150,13111430,74232225,800,418125,522.65625,0.3171155967,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.807,0.95,0.784,0.864,0.65,0.904,0.407,0.918,0.933,0.935,fmnist_cnn_event,fmnist_cnn,event,fixed,2,original,2700,72700
cnn,event,14538,80,5,0.1,0.4770959599,0.4728761315,0.5155860186,0.8142,0.8142,0.42,0.7954104988,6183495,6234695,6699975,67025350,12934670,73260045,800,412233,515.29125,0.3143071757,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.832,0.96,0.675,0.804,0.763,0.945,0.42,0.875,0.943,0.925,fmnist_cnn_event,fmnist_cnn,event,fixed,3,extension,2800,72800
cnn,event,14538,80,5,0.1,0.4775454798,0.4733175337,0.506236136,0.8121,0.8121,0.503,0.8026981795,6046380,6097580,6562860,65654200,12660440,71751780,800,403092,503.865,0.3146411523,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.812,0.95,0.615,0.857,0.708,0.904,0.503,0.922,0.914,0.936,fmnist_cnn_event,fmnist_cnn,event,fixed,4,extension,2900,72900
cnn,event,14538,80,5,0.1,0.4778587425,0.4736396968,0.5088821054,0.8154,0.8154,0.369,0.8000252438,6098880,6150080,6615360,66179200,12765440,72329280,800,406592,508.24,0.3153638665,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.85,0.95,0.791,0.862,0.648,0.902,0.369,0.915,0.93,0.937,fmnist_cnn_event,fmnist_cnn,event,fixed,5,extension,3000,73000
cnn,event,14538,80,5,0.1,0.4590694077,0.4548435509,0.5088441372,0.8119,0.8119,0.521,0.7875593103,6007530,6058730,6524010,65265700,12582740,71324430,800,400502,500.6275,0.3137480845,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.701,0.952,0.652,0.847,0.745,0.919,0.521,0.903,0.932,0.947,fmnist_cnn_event,fmnist_cnn,event,fixed,6,extension,3100,73100
cnn,event,14538,80,5,0.1,0.4895466318,0.4852832556,0.5054112077,0.8159,0.8159,0.388,0.8147048512,5976915,6028115,6493395,64959550,12521510,70987665,800,398461,498.07625,0.3118021479,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.837,0.954,0.692,0.865,0.736,0.918,0.388,0.893,0.928,0.948,fmnist_cnn_event,fmnist_cnn,event,fixed,7,extension,3200,73200
cnn,event,14538,80,5,0.1,0.476260863,0.472040832,0.5101628304,0.81,0.81,0.55,0.8076614972,6015495,6066695,6531975,65345350,12598670,71412045,800,401033,501.29125,0.3126962202,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.758,0.958,0.665,0.862,0.624,0.904,0.55,0.92,0.929,0.93,fmnist_cnn_event,fmnist_cnn,event,fixed,8,extension,3300,73300
cnn,event,14538,80,5,0.1,0.5132663166,0.5090513229,0.5335407257,0.8006,0.8006,0.335,0.8117830025,6052575,6103775,6569055,65716150,12672830,71819925,800,403505,504.38125,0.3140299395,80,0,0.999,0.025,0.01,0.3,0.025,0.005,0.5,1,0.75,0.948,0.534,0.875,0.874,0.905,0.335,0.889,0.937,0.959,fmnist_cnn_event,fmnist_cnn,event,fixed,9,extension,3400,73400
cnn,strom,14538,80,5,0.1,0.5348625881,0.5127837658,0.5524476767,0.7936,0.7936,0.134,0.9261930661,6797340,6848540,7313820,73163800,14162360,80012340,800,453156,566.445,0.3782502166,80,0,0.999,0.025,0.01,0.3,0.025,0.02,0.5,1,0.816,0.939,0.689,0.898,0.84,0.926,0.134,0.815,0.913,0.966,fmnist_cnn_strom_near,fmnist_cnn,traffic,0.02,0,original,2500,72500
cnn,strom,14538,80,5,0.1,0.5613077475,0.5392087698,0.5787288547,0.7987,0.7987,0.342,0.8596005751,7067985,7119185,7584465,75870250,14703650,82989435,800,471199,588.99875,0.3797612545,80,0,0.999,0.025,0.01,0.3,0.025,0.02,0.5,1,0.84,0.969,0.763,0.745,0.649,0.936,0.342,0.856,0.938,0.949,fmnist_cnn_strom_near,fmnist_cnn,traffic,0.02,1,original,2600,72600
